序号,名称,评分
1,肖申克的救赎,9.7
2,霸王别姬,9.6
3,阿甘正传,9.5
4,泰坦尼克号,9.5
5,千与千寻,9.4
6,这个杀手不太冷,9.4
7,美丽人生,9.5
8,星际穿越,9.4
9,盗梦空间,9.4
10,楚门的世界,9.4
11,辛德勒的名单,9.5
12,忠犬八公的故事,9.4
13,海上钢琴师,9.3
14,三傻大闹宝莱坞,9.2
15,放牛班的春天,9.3
16,机器人总动员,9.3
17,疯狂动物城,9.2
18,无间道,9.3
19,控方证人,9.6
20,大话西游之大圣娶亲,9.2
21,熔炉,9.3
22,教父,9.3
23,触不可及,9.3
24,当幸福来敲门,9.2
25,寻梦环游记,9.1
26,末代皇帝,9.3
27,龙猫,9.2
28,怦然心动,9.1
29,哈利·波特与魔法石,9.2
30,活着,9.3
31,蝙蝠侠：黑暗骑士,9.2
32,指环王3：王者无敌,9.3
33,我不是药神,9.0
34,乱世佳人,9.3
35,飞屋环游记,9.1
36,素媛,9.3
37,哈尔的移动城堡,9.1
38,让子弹飞,9.0
39,十二怒汉,9.4
40,何以为家,9.1
41,海蒂和爷爷,9.3
42,猫鼠游戏,9.1
43,摔跤吧！爸爸,9.0
44,天空之城,9.2
45,鬼子来了,9.3
46,少年派的奇幻漂流,9.1
47,钢琴家,9.3
48,指环王2：双塔奇兵,9.2
49,大话西游之月光宝盒,9.0
50,闻香识女人,9.1
51,死亡诗社,9.2
52,绿皮书,8.9
53,大闹天宫,9.4
54,罗马假日,9.1
55,黑客帝国,9.1
56,指环王1：护戒使者,9.1
57,教父2,9.3
58,天堂电影院,9.2
59,狮子王,9.1
60,辩护人,9.2
61,饮食男女,9.2
62,搏击俱乐部,9.0
63,本杰明·巴顿奇事,9.0
64,美丽心灵,9.1
65,穿条纹睡衣的男孩,9.2
66,窃听风暴,9.2
67,情书,8.9
68,两杆大烟枪,9.1
69,音乐之声,9.1
70,西西里的美丽传说,8.9
71,看不见的客人,8.8
72,哈利·波特与死亡圣器(下),9.0
73,阿凡达,8.8
74,拯救大兵瑞恩,9.1
75,功夫,8.8
76,小鞋子,9.2
77,飞越疯人院,9.1
78,沉默的羔羊,8.9
79,布达佩斯大饭店,8.9
80,哈利·波特与阿兹卡班的囚徒,9.0
81,蝴蝶效应,8.9
82,禁闭岛,8.9
83,致命魔术,8.9
84,心灵捕手,9.0
85,超脱,9.0
86,低俗小说,8.9
87,摩登时代,9.3
88,喜剧之王,8.8
89,春光乍泄,9.0
90,海豚湾,9.3
91,致命ID,8.9
92,杀人回忆,8.9
93,美国往事,9.1
94,哈利·波特与密室,8.9
95,红辣椒,9.1
96,一一,9.1
97,加勒比海盗,8.8
98,七宗罪,8.8
99,唐伯虎点秋香,8.7
100,狩猎,9.1
101,7号房的礼物,8.9
102,蝙蝠侠：黑暗骑士崛起,8.9
103,被嫌弃的松子的一生,8.8
104,甜蜜蜜,8.9
105,爱在黎明破晓前,8.8
106,第六感,8.9
107,超能陆战队,8.8
108,寄生虫,8.8
109,重庆森林,8.8
110,入殓师,8.9
111,请以你的名字呼唤我,8.8
112,断背山,8.8
113,幽灵公主,8.9
114,剪刀手爱德华,8.7
115,爱在日落黄昏时,8.9
116,勇敢的心,8.9
117,菊次郎的夏天,8.9
118,借东西的小人阿莉埃蒂,8.9
119,未麻的部屋,9.1
120,消失的爱人,8.7
121,无人知晓,9.1
122,时空恋旅人,8.8
123,完美的世界,9.1
124,倩女幽魂,8.8
125,阳光灿烂的日子,8.8
126,哈利·波特与火焰杯,8.8
127,小森林 夏秋篇,9.0
128,天使爱美丽,8.7
129,茶馆,9.6
130,侧耳倾听,8.9
131,驯龙高手,8.8
132,新世界,8.9
133,教父3,9.0
134,怪兽电力公司,8.8
135,幸福终点站,8.8
136,一个叫欧维的男人决定去死,8.9
137,傲慢与偏见,8.7
138,玩具总动员3,8.9
139,头脑特工队,8.8
140,小森林 冬春篇,9.0
141,被解救的姜戈,8.8
142,色，戒,8.7
143,釜山行,8.6
144,萤火之森,8.8
145,神偷奶爸,8.7
146,九品芝麻官,8.7
147,哪吒闹海,9.2
148,告白,8.8
149,喜宴,9.0
150,玛丽和马克思,9.0
151,模仿游戏,8.8
152,大鱼,8.8
153,花样年华,8.8
154,头号玩家,8.6
155,射雕英雄传之东成西就,8.7
156,七武士,9.3
157,惊魂记,9.0
158,我是山姆,9.0
159,血战钢锯岭,8.7
160,阳光姐妹淘,8.8
161,恐怖直播,8.7
162,你的名字。,8.5
163,黑客帝国3：矩阵革命,8.8
164,三块广告牌,8.7
165,心迷宫,8.8
